127.0.0.1 - - [06/Dec/2017:17:15:35 +0900] "GET / HTTP/1.1" 404 980
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:15:36 +0900] "GET /MY_MVP/vote.jsp HTTP/1.1" 200 2490
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:15:36 +0900] "GET /MY_MVP/vote.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:15:36 +0900] "GET /MY_MVP/common.css HTTP/1.1" 200 815
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:15:40 +0900] "POST /MY_MVP/result.jsp HTTP/1.1" 404 1031
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:15:41 +0900] "GET /MY_MVP/vote.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:17:07 +0900] "GET /MY_MVP/vote.jsp HTTP/1.1" 200 633
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:17:07 +0900] "GET /MY_MVP/vote.css HTTP/1.1" 404 1025
0:0:0:0:0:0:0:1 - - [06/Dec/2017:17:17:07 +0900] "GET /MY_MVP/common.css HTTP/1.1" 304 -
