0:0:0:0:0:0:0:1 - - [28/Apr/2017:16:59:58 +0900] "GET /LECTURE04/ex2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:00:05 +0900] "POST /LECTURE04/ex2.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:02:33 +0900] "POST /LECTURE04/ex2.jsp HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:02:37 +0900] "GET /LECTURE04/ex2.html HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:02:37 +0900] "GET /LECTURE04/ex2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:02:37 +0900] "GET /LECTURE04/ex2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:02:37 +0900] "GET /LECTURE04/ex2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:02:43 +0900] "POST /LECTURE04/ex2.jsp HTTP/1.1" 200 349
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:03:38 +0900] "GET /LECTURE04/ex2.html HTTP/1.1" 200 426
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:03:42 +0900] "POST /LECTURE04/ex2.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:03:55 +0900] "POST /LECTURE04/ex2.jsp HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:04:22 +0900] "GET /LECTURE04/ex2.html HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:04:22 +0900] "GET /LECTURE04/ex2.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:04:56 +0900] "GET /LECTURE04/ex2.html HTTP/1.1" 200 427
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:05:01 +0900] "POST /LECTURE04/ex2.jsp HTTP/1.1" 200 354
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:16:54 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 200 469
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:19:23 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 200 548
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:25:51 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 200 629
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:25:55 +0900] "POST /LECTURE04/ex3.jsp HTTP/1.1" 200 332
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:26:05 +0900] "POST /LECTURE04/ex3.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:37:02 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 200 623
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:37:04 +0900] "POST /LECTURE04/ex3.jsp HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:37:07 +0900] "POST /LECTURE04/ex3.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:37:12 +0900] "POST /LECTURE04/ex3.jsp HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:37:16 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:37:16 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:37:25 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:37:27 +0900] "POST /LECTURE04/ex3.jsp HTTP/1.1" 200 334
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:38:19 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 200 617
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:38:20 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:38:34 +0900] "POST /LECTURE04/ex3.jsp HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:38:37 +0900] "POST /LECTURE04/ex3.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:38:41 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:38:44 +0900] "POST /LECTURE04/ex3.jsp HTTP/1.1" 200 335
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:46:51 +0900] "GET /LECTURE04/ex3.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2017:17:46:55 +0900] "POST /LECTURE04/ex3.jsp HTTP/1.1" 200 335
