0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:44:26 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:44:29 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:44:29 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:44:43 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 592
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:45:15 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:45:15 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:45:16 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:45:16 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:45:16 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:45:17 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:45:27 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 652
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:45:27 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 200 7460
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:45:27 +0900] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:46:13 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 663
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:46:13 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:53:33 +0900] "GET /LECTURE13/itemlist.jsp HTTP/1.1" 200 639
0:0:0:0:0:0:0:1 - - [07/Jul/2017:16:53:33 +0900] "GET /LECTURE13/img/water1.jpg HTTP/1.1" 304 -
