127.0.0.1 - - [09/Jun/2017:16:37:44 +0900] "GET / HTTP/1.1" 404 980
0:0:0:0:0:0:0:1 - - [09/Jun/2017:16:37:47 +0900] "GET /LECTURE09/ex1.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [09/Jun/2017:16:38:06 +0900] "GET /LECTURE09/ex1.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [09/Jun/2017:16:38:07 +0900] "GET /favicon.ico HTTP/1.1" 404 1013
0:0:0:0:0:0:0:1 - - [09/Jun/2017:16:55:38 +0900] "GET /LECTURE09/ex1.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:01:48 +0900] "GET /LECTURE09/ex3.html HTTP/1.1" 200 686
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:14:42 +0900] "GET /LECTURE09/ex3.html HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:14:44 +0900] "POST /LECTURE09/ex3.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:14:48 +0900] "POST /LECTURE09/ex3.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:32:32 +0900] "GET /LECTURE09/ex3.html HTTP/1.1" 200 488
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:32:34 +0900] "POST /LECTURE09/ex3.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:32:36 +0900] "POST /LECTURE09/ex3.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:32:38 +0900] "POST /LECTURE09/ex3.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:32:41 +0900] "POST /LECTURE09/ex3.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:33:39 +0900] "GET /LECTURE09/ex3.html HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:33:41 +0900] "POST /LECTURE09/ex3.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:33:43 +0900] "POST /LECTURE09/ex3.jsp HTTP/1.1" 200 296
0:0:0:0:0:0:0:1 - - [09/Jun/2017:17:44:21 +0900] "GET /LECTURE09/ex4.jsp HTTP/1.1" 200 637
0:0:0:0:0:0:0:1 - - [09/Jun/2017:18:09:25 +0900] "GET /LECTURE09/ex1.jsp HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [09/Jun/2017:18:09:33 +0900] "GET /LECTURE09/ex1.jsp HTTP/1.1" 200 292
